NHD_NAME,NHD_NUM,white40,nonwhite40,white50,black50,white60,black60,white70,black70,white80,black80,white90,black90,white00,black00,white10,black10,white11,black11,white12,black12,white13,black13,white14,black14,white15,black15,white16,black16,white17,black17
Fountain Park,53,6433.682218823186,70.06376983764703,2686.4745075389087,4261.893348225626,536.2719613353286,5190.536432321441,106.06714016165014,4444.787163487957,25.36414598942834,3153.5149988024905,20.535965563922023,2583.0035172460634,27.293296207842634,1957.5438717588765,17.13553013527527,1601.9554587245011,6.540968579421109,1728.0871095892821,5.775167582902793,1766.5275173229181,6.738762686828204,1691.7676379413701,19.827049610171358,1698.1649826582914,15.893353829251433,1400.7491990465173,21.999936479762678,1263.617472492719,39.82907084266399,1255.2132870075484
Jeff Vanderlou,59,19968.830550968407,16141.68651492997,15863.047823627634,24157.10049069237,5319.442711647165,29392.053681160305,1001.1155523866186,22527.629251386526,202.50753602474757,13453.28499030669,137.82083747615115,10537.56951651071,114.3112893539941,7111.194693775502,185.78853714311737,6185.962154209261,126.36129554834609,5504.241072955294,137.73606009254712,5557.322018381112,114.55392231607381,5484.467503785679,116.22414532255897,6000.092249936952,150.3490171721339,5544.860015370618,168.99013410288822,5297.879543805907,190.02834999149914,5198.895558314347
The Ville,57,1942.2251449296587,9651.411703299278,1185.1812442422743,10682.021685016029,96.92823261855303,10182.564813737725,66.15256908220653,7301.86363725681,18.72137827827885,4450.470456770861,15.19627496363495,3456.142299525383,13.643221343184821,2442.1889350425745,15.247788259167603,1732.9812368232062,2.5511451349896817,1851.7928441829122,2.106129648759295,1762.653130667865,4.1106299859317375,1497.60161583298,4.483641455167837,1428.2860303279263,5.616733558999324,1526.8789969894385,5.617057087875305,1522.3995251637414,6.352702286673979,1460.3143355228644
Academy,51,11615.616497427214,62.409226895274,12006.63414836191,578.3597077973424,2305.808963603193,9429.130371239853,454.97351694605567,8594.193118264817,411.16109494656615,5905.453192408262,69.4819775109336,4510.37120660215,75.32678724292435,3231.5738324725003,67.13247481891628,2491.3791203237924,108.7129543215477,2469.0318991407416,103.64838175318653,2736.3310421006563,140.02135944243048,2755.095404692008,176.29525120331382,2540.1215607336253,128.40441015288798,2500.4109748518467,151.72107981073464,2434.373192433166,143.21208464214678,2175.8308225181877
Hyde Park,65,9108.364431602875,49.71951049864505,8864.919090354368,27.669052741986942,6955.017433825771,17.758536295415254,4421.044411038792,793.1167444191161,1248.0174023091502,2000.236859346255,771.955694474912,2129.2727264797227,368.7959090147869,1724.7961069997011,208.7009353640689,1360.6243044001344,226.25835208203506,1562.8984078954957,228.7762511742561,1549.5066963128822,396.83879202383946,1419.0288359189055,302.1063981294704,1529.4727739288232,301.5849851318475,1234.0397271554457,292.32565083659426,1372.7921214922894,289.37348431086787,1313.71240482425
West End,48,20705.888709187508,339.6795309573353,22578.664250715578,337.9339715646514,10412.451366153557,11978.640708643257,1321.0009565961514,15428.334382184375,712.6651242026421,11212.255993552844,642.1677431166474,8716.102110251928,586.2783326676006,6275.292210003677,861.3196406307167,5646.332466856993,1262.8505465409833,5198.17626196242,1254.5073775524086,5370.221884599385,1166.374264372736,5690.758228628781,1123.2460011741769,5851.5701204780735,1021.6885255571704,5707.803670883484,1067.0479869563203,5644.857173107115,1228.9767304970235,5720.166216611671
Greater Ville,56,17150.369443948428,5245.085640761594,12812.547023325125,9635.700848596278,3029.561579182945,18569.794501718352,377.7748704337363,17853.290576584837,131.09778352267318,12640.878571681586,73.45375012441026,10056.961282452396,55.978761745207095,7108.281213426869,87.27486062530075,5471.070822214287,29.099121309934045,5811.464520951038,29.241815227515048,5741.980652488262,23.11644222424133,5373.374156250092,106.34120272626502,4885.452692250022,101.18548865458699,4679.168886563932,104.53832230660281,4659.498561826008,113.26222026330302,4583.788756714696
Fairground Neighborhood,67,7216.547093649724,13.312015803368435,7241.071003116252,6.666023975727366,6338.913575812267,14.30562049673468,2403.5623847224965,3995.3992571683034,245.85444594006287,4096.231103266042,103.26610286249655,3049.6819947574036,25.72644093394796,2124.4370107442614,34.618847832507534,1602.008996552016,71.38557405423421,1565.8346010177506,60.112394640888404,1521.8539049666565,63.683644421134694,1612.9183510747955,11.846224066741305,1581.0633678285121,16.042075732400935,1073.8907415797134,24.379402290705247,1100.7348787813125,41.809749972476155,1120.486062816063
Hamilton Heights,78,14134.34379224897,38.28596578081958,12989.518582342856,384.208788487091,2382.3759297795627,11266.319543649868,275.3733037358874,11874.764722742582,57.16382560134367,7338.848085265615,36.90677707304666,5327.4222642847935,25.67500433087581,3780.504211733937,31.456283432623493,2980.9873233330695,5.0696540240275345,2757.939106414844,4.801526680887957,2506.119173982133,4.534922849597169,2677.74157615178,6.270636136589141,2405.7442782443,18.22873547940766,2281.548383517817,46.20382465721124,2386.080453541556,49.520468256628334,2341.290995669096
Kingsway East,55,8234.806493780181,5.013930199984948,6414.2641239049635,2346.9271230469735,777.5883406703908,7597.125559689471,203.70964838218893,7282.493120776469,53.02927160378087,5849.606462834567,20.676099511260716,5041.763349063832,16.21327328392548,4268.950025842859,51.035745337736714,3424.3031579939025,15.822209269736529,3458.0374214808326,23.49974755021743,3304.2379650108824,35.15773256232969,3010.135486049677,34.07788764965771,3028.390703731399,3.4025240165958555,2956.0862493296017,3.3209438116765266,3099.655290620864,3.3096248976917817,3196.2788888280843
Kingsway West,52,7717.734910157367,105.63148032117635,7606.6305148293895,129.47098921769427,1916.887134025461,5418.941099668677,257.2135938499276,6417.882319162772,56.393788906276185,4861.506990335122,35.865430485215995,4147.762325869909,37.518565509419616,3215.348034323704,63.922277551371174,2723.25586531679,102.1720111707918,2688.8807054082704,85.62036206849369,2582.5522352655867,68.83221560199212,2588.311662542187,62.102522423905654,2721.8039126547533,76.81269624048997,2541.356066726369,73.63937245286523,2277.0486626790535,72.6426794379544,2324.11875913248
Patch,2,6772.445810485071,149.84440955236983,6405.198491447416,126.65770931317476,5604.186796884988,97.94303290701193,4478.9902980083025,78.66420744994909,4608.608969043917,78.17267818414689,4033.6184471196634,135.99682763323014,3011.1821621950344,437.637474958638,2232.2910209642387,1019.5522880922977,2588.4375460603724,749.3177440629156,2556.033133691062,784.5401813859953,2564.4920679233883,832.7349282803814,2503.774583208602,1124.9708823126355,2454.578646021063,1370.6678349043177,2224.3772261128042,1558.720364781433,2317.330665001671,1451.2734733293685
Carondelet,1,15571.050341133896,490.60248659647874,15856.603050536687,457.2880933813552,14648.684644979461,340.38806890452673,12294.991927878107,284.3330195009414,9612.137038894898,243.17516216167394,8497.140556417631,379.71322892601637,6114.517026095549,1704.6250151070024,4591.553024687687,2681.0736292413508,5192.598155158417,2123.9081913445953,5146.488095586991,2210.9628340931504,5112.768980849359,2174.5957543989775,4978.7074953458405,2611.8155979942476,4945.708368130575,3126.743295859896,4482.617786972154,3397.849080573412,4452.911335982436,3529.542996318519
Holly Hills,3,5080.176666236449,3.4614467499026973,5235.961352682864,1.4393112865473452,4831.1953343425885,0.5665502623969335,4699.4555994534385,9.201581889417304e-4,4046.57294755028,7.174801737560599e-4,3513.2936500742217,11.835136791725025,3306.778263432718,154.2901276342784,2946.2342305453403,351.01357151049194,3012.5926347439613,184.1932487153565,2817.4056991913076,238.5496205731052,2854.0988264100106,261.5755290226166,2857.5503505580687,308.4944360317821,2676.3891075120855,428.2709251702964,2653.8096049485357,528.2719304807526,2735.290110097675,471.4477732970408
