NHD_NAME,NHD_NUM,pop40,pop50,pop60,pop70,pop80,pop90,pop00,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
Columbus Square,62,4620.907538939278,5044.814373023738,4234.339144144114,2561.653441084655,1098.7548845934175,1383.9076316225776,958.0691461468414,1207.2941930007926,1038.3644739813362,137.7917733838049,1091.1172444941146,168.80117171128052,1266.320732466951,171.0407126459105,1288.0835039087092,187.5435431726346,1342.6616868762558,170.12412998132064,1343.410827461028,134.88223348929458,1377.4381799428627,147.10132843909676
Carr Square,61,14076.553210512728,16202.905624237183,17825.05553998264,9807.716147489911,2997.068156870957,2327.6864853235375,1749.8012177045969,1944.794681210121,1728.2289813488965,236.71680491805304,1838.5256895559735,270.98452476048374,2057.290055538438,274.167792033842,2111.706993422508,323.9014868080132,2180.8009105209226,263.43276103778044,2160.731519934673,232.2974835799648,2114.803073391503,257.42692477720533
Wydown Skinker,45,1477.9785787072335,1555.7230102650253,1327.9807793222653,1351.0970559106968,1117.0864103777685,916.2898244661304,906.3733550792621,940.8764059492379,913.6639871406657,85.00773997340652,973.0640833392331,82.34809737187379,973.1570182872297,108.63308448638948,934.5994412386729,110.54156644187472,946.4612771443855,91.66964299618436,960.3799781126626,91.60353229161538,848.181121158165,65.41604393710736
Covenant Blu-Grand Center,77,14875.432943992622,16788.289940543953,12297.969793522343,9045.219443933862,5678.783280171587,4432.111352095046,3322.7590863840924,4144.374155483194,3475.050286631735,566.1150027668101,3715.08913434365,563.2938950002336,3484.736155096122,522.0742765028941,3641.4318226344335,515.5531532085176,3608.42515670356,479.0156241618665,3482.126265915081,406.39598547066873,3544.7956311672788,457.97478770450726
Central West End,38,36900.923556836664,41869.333278028,32987.0721216761,25896.60068569813,17629.68217108938,17087.44263782564,16077.192919919653,16474.853127048493,15850.005070217409,1849.091912886042,16017.156825251464,1709.085218878531,16266.740897490043,1888.2253490669336,16149.557839463347,1943.1783273130811,16693.25764865131,1709.3061843463877,16937.401830519426,1659.6160972413552,16855.792462841466,1748.101965421851
Old North St. Louis,63,8073.460267811282,8037.047726743725,5740.481031690192,3715.711460300767,1460.310564647864,1244.793629396671,948.3364473967329,1123.8927843886183,981.6224355218385,127.91997402979109,1024.6986300419085,164.68020388356769,1166.419659336526,197.6118320082151,1089.3018972909083,169.1298051434891,1108.8238584729165,147.8524422238988,1147.7841249534174,142.77011637993922,1063.2032937173135,125.04600199116327
Vandeventer,58,14228.982893653612,14929.313003037587,13006.628944399472,9912.258415284394,5035.183801861215,3584.9231535992767,2318.441923495089,1887.5532642902167,1897.5199452876816,350.2970929271753,2111.8011704045134,378.51454085246536,1982.5504540477,350.454147440246,2039.327984206866,373.09898389896796,1978.9645589832294,352.3048085623278,2039.3060435206455,360.621071467348,2140.0032393240554,356.8086548227374
St. Louis Place,60,22096.362722470425,22080.22294366058,18213.61212742116,12069.398149345529,4533.282391654845,3524.34167052094,2521.589644380304,2310.367851211559,2235.5839526944496,311.705054046554,2250.7009339614956,318.7454494644834,2248.4288981303716,329.26133864620004,2347.7634129298976,315.6320500198462,2190.426012724767,287.94814891488227,2212.845959028552,317.61345165478315,1997.2000931525968,297.17690776587426
Visitation Park,49,3249.2992434117846,3649.3356661105313,3728.3289498731006,2657.7670496408464,2060.629679065308,1469.3017315228344,1023.3277819214153,924.8417355632855,848.1190291429964,158.46226471784342,852.5475951308662,150.4734254237384,923.6407643990151,139.3827122725201,926.5265330457154,130.6432235394361,949.8020074138229,124.94041911174273,900.8054700443047,139.37771176969488,874.0089499359073,148.52609696639277
Lewis Place,54,9167.358432143852,9732.010479394514,8108.442966008157,6485.178619680978,4004.3608862694678,3190.2718921785445,2210.2390732843915,1760.8952133523537,1840.5730822156681,330.1851185669987,1935.1633762390338,357.1394088531332,1770.5041284695385,320.9923060167619,1778.646671771786,313.56779993971037,1530.5394998120626,298.26293744726354,1426.0732963042592,271.0463077827106,1440.473621538503,311.28379121355715
Fountain Park,53,6503.745988660833,6952.804232927024,5734.557037677815,4696.637932245771,3186.348042612284,2610.400760600742,2009.1166648648075,1655.2496983592837,1734.7841300151263,318.9571710629549,1773.5023963383462,342.824998144222,1699.337288993386,317.92540950846677,1733.8107537364199,297.13907661866983,1433.7283078572652,274.55737901044847,1324.4276478560128,255.23779469092676,1348.0383594490622,291.5210301847315
Jeff Vanderlou,59,36110.51706589838,40041.98026906144,34744.47167591915,24917.552049310005,13718.489168937309,10697.923020901882,7313.848025554758,6496.865560890661,5747.068883032099,1191.57009656084,5811.981056737815,1183.3255959144415,5675.415560733472,1167.9207053777318,6200.866339506542,1042.0947878360414,5776.889703354549,870.3500358493104,5581.357869554711,811.0633429110983,5501.685870899278,989.3459312381887
The Ville,57,11593.636848228938,11870.47852349251,10314.22385081887,7666.834588365621,4494.188367882008,3479.854119301754,2487.3677428890683,1775.8173070388566,1860.238522275582,372.8736376164626,1772.1068966110781,367.4822216968535,1503.3506860189832,290.42247362672555,1434.440371264553,269.1936932520978,1536.286183116109,263.93542468745966,1532.197183602883,258.4893678519165,1470.3156995064883,266.9783585284517
Academy,51,11678.025724322488,12622.960141065758,11773.42232957639,9451.708367914329,6338.761304165101,4590.169205839581,3366.602098929266,2613.8638113759425,2667.317163761223,534.86725296131,2900.6288728850486,599.1460623840276,2950.5474521982414,525.8172364953713,2733.5993222797865,445.11342919906684,2645.6165371129787,382.46342496098555,2623.2457919939857,442.45660408078976,2372.649860699454,395.36877989122274
