GEOID,NAME,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
29510115700,"Census Tract 1157, St. Louis city, Missouri",3567,3532,493,3191,458,3641,618,3930,677,3789,537,3658,674,4050,671
29510116100,"Census Tract 1161, St. Louis city, Missouri",3274,3847,497,3740,485,3936,514,3948,563,3231,409,2973,422,2888,368
29510116200,"Census Tract 1162, St. Louis city, Missouri",4325,4422,573,4408,431,4234,391,4397,341,4267,365,4132,392,4061,389
29510116301,"Census Tract 1163.01, St. Louis city, Missouri",2999,3393,479,3340,470,3190,428,3266,488,3608,418,3634,376,3649,395
29510116302,"Census Tract 1163.02, St. Louis city, Missouri",3007,2556,482,2536,457,2580,393,2216,324,2477,318,2783,343,3044,386
29510116400,"Census Tract 1164, St. Louis city, Missouri",4891,4817,667,4861,584,4937,652,5043,731,4913,616,4852,467,4384,547
29510116500,"Census Tract 1165, St. Louis city, Missouri",3844,4346,532,4040,486,4277,583,4630,553,4481,535,4723,637,4590,525
29510117100,"Census Tract 1171, St. Louis city, Missouri",1537,1608,312,1468,192,1419,179,1501,191,1469,163,1685,213,1750,199
29510117200,"Census Tract 1172, St. Louis city, Missouri",5359,5398,490,5403,594,5615,606,5479,591,5566,606,5171,664,5110,572
29510117400,"Census Tract 1174, St. Louis city, Missouri",4235,4732,576,4615,503,4533,353,4294,359,4307,447,4635,496,4662,498
29510118100,"Census Tract 1181, St. Louis city, Missouri",1324,1033,271,993,184,1126,192,1117,200,1161,192,1234,210,1285,259
29510118400,"Census Tract 1184, St. Louis city, Missouri",1159,1388,351,1473,371,1546,392,1459,418,1557,317,1480,343,1460,303
29510118600,"Census Tract 1186, St. Louis city, Missouri",3421,3546,476,3504,474,3567,368,3530,429,3822,414,3980,424,4163,438
29510119101,"Census Tract 1191.01, St. Louis city, Missouri",2584,2493,294,2655,308,2694,380,2635,306,2587,275,2787,265,2800,261
29510119102,"Census Tract 1191.02, St. Louis city, Missouri",2994,3047,364,2916,275,3051,316,2974,322,3237,309,3159,343,3203,319
29510119200,"Census Tract 1192, St. Louis city, Missouri",1703,1426,182,1600,208,1590,209,1696,321,1746,233,2008,182,2019,294
29510119300,"Census Tract 1193, St. Louis city, Missouri",5454,4262,564,4428,531,4135,502,4213,590,4319,501,4109,351,4119,348
29510120200,"Census Tract 1202, St. Louis city, Missouri",1271,1277,317,1276,346,1490,366,1626,355,1370,232,1470,265,1439,267
29510121100,"Census Tract 1211, St. Louis city, Missouri",1941,1754,302,1851,291,1813,285,1779,204,1779,280,1711,226,1918,372
29510121200,"Census Tract 1212, St. Louis city, Missouri",2474,2056,392,2356,538,2072,443,2667,383,2508,331,2343,313,2254,392
29510123100,"Census Tract 1231, St. Louis city, Missouri",3351,3605,381,3631,396,3607,482,3600,448,3650,454,3669,446,3399,419
29510123200,"Census Tract 1232, St. Louis city, Missouri",2298,2123,185,2149,220,2250,184,2189,183,2210,198,2407,203,2629,213
29510123300,"Census Tract 1233, St. Louis city, Missouri",2586,2536,321,2695,276,2670,286,2835,194,2920,251,3029,236,2931,254
29510124100,"Census Tract 1241, St. Louis city, Missouri",4644,5520,704,4823,643,5153,651,5635,698,5304,690,5506,800,4997,907
29510124200,"Census Tract 1242, St. Louis city, Missouri",3201,3531,465,3576,520,3451,470,3235,411,3382,517,3551,534,3658,491
29510124300,"Census Tract 1243, St. Louis city, Missouri",3131,3092,454,3043,450,2893,467,2975,278,2964,249,3117,281,3003,281
29510124600,"Census Tract 1246, St. Louis city, Missouri",1845,1979,253,1865,265,1895,260,1901,211,1943,194,1780,211,1876,236
29510125500,"Census Tract 1255, St. Louis city, Missouri",2885,1993,311,2520,265,2743,246,2791,306,2903,316,2976,276,3344,356
29510125600,"Census Tract 1256, St. Louis city, Missouri",4113,2780,336,3558,383,4054,392,3870,460,4185,463,4548,545,4733,639
