NHD_NUM,NHD_NAME,pop10,pop11,pop11_m,pop12,pop12_m,pop13,pop13_m,pop14,pop14_m,pop15,pop15_m,pop16,pop16_m,pop17,pop17_m
22,Benton Park,3318.538354683267,3270.3130182321984,456.1876377726153,3310.036479781881,432.84431862056675,3197.4582454575852,448.83927936217134,3328.7247758249414,278.6248184207239,3360.9525788632463,285.3928922617153,3513.560104929153,300.1564780387054,3392.1754117943806,308.57749212041074
81,Tower Grove Park,2151.416289362131,2199.870882494707,284.7724190078236,2192.6916941577506,214.51735759916005,2106.7484122239307,194.71383944321423,2187.3920519419385,170.1728119162226,2123.5964079183564,182.08368839273467,2056.722996318961,195.53572835509172,2021.642041888949,193.99485526840803
25,Tower Grove East,5502.892966553833,6119.594877301271,758.0252840133289,5823.091511259746,685.6928194933024,5996.967251304139,718.5899834221103,6212.439592886,701.2146729955871,6083.948216870851,710.1358582594711,6410.558655726209,799.3798490467376,6261.435405633204,711.4847317358647
23,McKinley Heights,1381.8448631630283,1322.5856027492507,145.7648294795903,1377.5301826587533,141.12132457166058,1395.740432698725,135.17623716684665,1430.1388705600598,106.92723726744192,1461.4300884992372,128.06911827043,1544.9725738809861,124.77831616443434,1571.340266149339,132.7218011525379
21,Soulard,2078.165438058119,2021.8813013714448,227.39897949437545,2099.724078315172,210.18416270231216,2112.337795456088,220.8545238245886,2135.6405257276037,183.48099042933376,2134.8810018676895,188.7522785964018,2097.621382895429,185.44544984273503,2099.545475694639,210.1229656850582
24,Fox Park,2411.4065963748335,2600.0028367907894,280.89528086627314,2619.825440563166,294.18801455314957,2595.863888914505,347.0727973812338,2576.8652109139166,320.93426432837146,2619.2528503537915,331.90515141072876,2643.222657242207,327.84871778637347,2473.3092278386625,307.35915422844454
26,Compton Heights,2048.7056368203985,2160.146938137234,265.7316148090909,2116.0874938418638,232.49945701405932,2123.8178654221815,184.90320839924615,2016.8013529600557,176.42637147857988,2037.9114942291508,203.44718122752465,2172.1508500489867,231.83053241218158,2200.412263665793,230.74397831074975
20,Kosciusko,2942.3210398905117,2838.3551346272375,299.99453476882434,2968.998081110034,286.9615043386183,2998.7636380132185,313.86732752491196,2994.774770561352,283.0913438296216,2944.025333449963,263.1899306652139,2806.1013020877176,268.51329469883683,2794.3148985687517,308.65881711012486
87,Missouri Botanical Garden,486.51054443514283,508.98435618198414,98.75815866217603,464.6697978079308,60.77425148441602,449.15970237701214,56.65932820682535,475.1153722818148,60.45771892460135,464.9863303677455,51.594807249790684,533.3573632877135,67.42143524052402,553.9319796756669,62.98997940311869
27,Shaw,5918.8831018559285,6056.798172714414,601.4000740187743,6026.068071470496,662.0594811157686,6197.451804124182,632.3111239497852,6005.291867570212,615.8395362397885,6089.661072917789,650.9021864694455,5868.00461945684,718.6968172379607,5835.843302722428,642.5456712042616
13,Southwest Garden,4247.064343042678,4183.2089654612955,492.0072778888647,4066.8405749308213,361.0336708645075,3976.7545949962787,427.5160059872491,4310.628470194184,549.3484230237847,4483.957171380914,560.7631528253119,4519.003146275252,596.3458812299917,4524.661698484209,605.529846890971
11,Clifton Heights,2315.1312130301803,2256.902428090782,254.20590939826303,2291.0815636590464,235.73270652506767,2281.9176694204343,215.8191545423001,2202.0807168039405,194.9560957821078,2276.3128530836684,224.3553617586793,2297.9500324144465,254.12350207240792,2210.9875338435354,222.76657835066123
34,LaSalle Park,718.2503147913366,678.9731514772552,69.98082046842678,736.8357235516503,82.2902218867134,745.4836962437431,88.00183017609756,780.7905218646376,76.20012535729099,781.440083473948,71.67979150313627,804.0112646242582,84.85536794211677,766.4857422065606,86.14416496379363
33,Peabody Darst Webbe,914.5324976506288,854.7681005933193,81.2969530311776,896.1291539846757,101.37967259467857,924.0325784725213,95.83348338906609,942.2005182098312,86.75637015182022,953.2718704275621,87.47195580413035,1024.9199576815508,100.13575872281632,1044.5175436784561,100.4160354610636
32,Lafayette Square,1596.6935426844261,1491.0417757488553,139.57928920468203,1551.5437179174264,172.15926699596542,1604.0707890100514,159.83044266774252,1620.2275330338875,147.09043262495973,1638.6287600146757,150.239185768325,1764.9904576842891,168.26574578750234,1822.2383243133343,169.94891484113018
10,Ellendale,2882.173604401612,2814.9950831258548,340.0890539270797,2735.768056886468,227.62648947901096,2949.183719312831,233.52433020710788,2788.265939160662,219.67175613685865,2759.743241094271,194.78392778718978,2665.2939598969356,219.33607311964585,2749.86866647807,224.70861988163264
12,The Hill,3012.7564355450118,2770.624181292298,280.4017155684494,2812.959344666614,273.35061526272335,2893.1408344983433,248.31455920130898,2849.2272362702033,245.31237486245124,2946.7486442325658,247.08184818969096,2871.2158084739785,274.54973184791425,3067.2293816060937,283.12489206259045
31,The Gate District,3376.5648984984077,3220.0161749554513,377.2780876831933,3252.0661518104084,367.6574208873087,3375.3822541238837,414.5659010748707,3323.9823361929944,358.9976751593863,3402.8557132212986,344.98593161521427,3501.101519711008,391.9776814459028,3452.123176954378,375.4251669088045
66,College Hill,724.1550686725855,750.7226806621214,128.14198207436738,828.5405880244152,137.9273906166175,803.3641380966137,123.99463499301677,679.2744522933681,126.6318885224697,652.0500009748997,103.98547265929317,724.2969690349846,126.29896397839325,671.4410693480827,121.95564945266653
68,O'Fallon,3691.9524499016898,4179.043501171466,631.8760615760581,3960.476278675289,581.6194249318802,3580.752695218689,542.977487170784,3479.8731253378705,597.7571938683618,3257.545896021026,609.449045939315,2902.8545894639174,517.9204123851946,3050.390154537738,566.758085723438
85,O'Fallon Park,692.6554259402751,885.4542673585121,133.8938866187323,859.3439150537671,90.23737756519868,772.6575454020137,97.13051057365136,766.182178030437,107.36576867711139,673.0204410071068,115.92996423306775,623.7240958557483,87.73078374394316,637.0925962357777,94.8327995708338
69,Penrose,3346.6667760641776,3591.941489503982,524.279184336916,3381.320236285726,512.8769126971354,3473.748533182999,540.2301867335937,3292.8474933744224,476.0261886533085,3180.2741190803686,477.23821120145715,3052.0149751794256,431.40085266947295,3054.8701935601757,416.2309841251452
64,Near North Riverfront,4912.635099714266,5129.820845535252,910.8080792255754,5294.001417995627,983.7376455550217,5279.753208319687,877.9557335843422,4906.437709191018,866.4536922356831,4735.357886152804,699.3034437439527,4988.0101849819985,707.1700299699842,4717.483799643848,694.7407471247374
