Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_State,Geo_tractcd,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJoin2,Geo_DECADE,Geo_state60,Geo_county60,Geo_Supp_trc_pcs_count,Geo_SuppFP_1,Geo_SuppFP_2,Geo_SuppFP_3,Geo_SuppFP_4,Geo_SuppFP_5,Geo_Supp1,Geo_Supp2,Geo_Supp3,Geo_Supp4,Geo_Supp5,SE_T001_001
"Census Tract 0013B000","Census Tract 0013B000, St Louis City County, Missouri","140","2951000013B000","29","000001300B","290","5100","G29051000013B","29051000013B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3347
"Census Tract 0013C000","Census Tract 0013C000, St Louis City County, Missouri","140","2951000013C000","29","000001300C","290","5100","G29051000013C","29051000013C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,1936
"Census Tract 0013D000","Census Tract 0013D000, St Louis City County, Missouri","140","2951000013D000","29","000001300D","290","5100","G29051000013D","29051000013D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,1690
"Census Tract 0014A000","Census Tract 0014A000, St Louis City County, Missouri","140","2951000014A000","29","000001400A","290","5100","G29051000014A","29051000014A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,12003
"Census Tract 0014B000","Census Tract 0014B000, St Louis City County, Missouri","140","2951000014B000","29","000001400B","290","5100","G29051000014B","29051000014B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,7326
"Census Tract 0014C000","Census Tract 0014C000, St Louis City County, Missouri","140","2951000014C000","29","000001400C","290","5100","G29051000014C","29051000014C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,7824
"Census Tract 0015A000","Census Tract 0015A000, St Louis City County, Missouri","140","2951000015A000","29","000001500A","290","5100","G29051000015A","29051000015A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4647
"Census Tract 0015B000","Census Tract 0015B000, St Louis City County, Missouri","140","2951000015B000","29","000001500B","290","5100","G29051000015B","29051000015B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3522
"Census Tract 0015C000","Census Tract 0015C000, St Louis City County, Missouri","140","2951000015C000","29","000001500C","290","5100","G29051000015C","29051000015C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,6367
"Census Tract 0015D000","Census Tract 0015D000, St Louis City County, Missouri","140","2951000015D000","29","000001500D","290","5100","G29051000015D","29051000015D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4243
"Census Tract 0015E000","Census Tract 0015E000, St Louis City County, Missouri","140","2951000015E000","29","000001500E","290","5100","G29051000015E","29051000015E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,8332
"Census Tract 0015F000","Census Tract 0015F000, St Louis City County, Missouri","140","2951000015F000","29","000001500F","290","5100","G29051000015F","29051000015F","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,8106
"Census Tract 0015G000","Census Tract 0015G000, St Louis City County, Missouri","140","2951000015G000","29","000001500G","290","5100","G29051000015G","29051000015G","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5644
"Census Tract 0016A000","Census Tract 0016A000, St Louis City County, Missouri","140","2951000016A000","29","000001600A","290","5100","G29051000016A","29051000016A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4517
"Census Tract 0016B000","Census Tract 0016B000, St Louis City County, Missouri","140","2951000016B000","29","000001600B","290","5100","G29051000016B","29051000016B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,7811
"Census Tract 0016C000","Census Tract 0016C000, St Louis City County, Missouri","140","2951000016C000","29","000001600C","290","5100","G29051000016C","29051000016C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,9251
"Census Tract 0016D000","Census Tract 0016D000, St Louis City County, Missouri","140","2951000016D000","29","000001600D","290","5100","G29051000016D","29051000016D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,7463
"Census Tract 0016E000","Census Tract 0016E000, St Louis City County, Missouri","140","2951000016E000","29","000001600E","290","5100","G29051000016E","29051000016E","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,7009
"Census Tract 0017A000","Census Tract 0017A000, St Louis City County, Missouri","140","2951000017A000","29","000001700A","290","5100","G29051000017A","29051000017A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,3921
"Census Tract 0017B000","Census Tract 0017B000, St Louis City County, Missouri","140","2951000017B000","29","000001700B","290","5100","G29051000017B","29051000017B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,13466
"Census Tract 0017C000","Census Tract 0017C000, St Louis City County, Missouri","140","2951000017C000","29","000001700C","290","5100","G29051000017C","29051000017C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,9253
"Census Tract 0017D000","Census Tract 0017D000, St Louis City County, Missouri","140","2951000017D000","29","000001700D","290","5100","G29051000017D","29051000017D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,8338
"Census Tract 0018A000","Census Tract 0018A000, St Louis City County, Missouri","140","2951000018A000","29","000001800A","290","5100","G29051000018A","29051000018A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,5273
"Census Tract 0018B000","Census Tract 0018B000, St Louis City County, Missouri","140","2951000018B000","29","000001800B","290","5100","G29051000018B","29051000018B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,6643
"Census Tract 0018C000","Census Tract 0018C000, St Louis City County, Missouri","140","2951000018C000","29","000001800C","290","5100","G29051000018C","29051000018C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,1188
"Census Tract 0018D000","Census Tract 0018D000, St Louis City County, Missouri","140","2951000018D000","29","000001800D","290","5100","G29051000018D","29051000018D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,259
"Census Tract 0018E000","Census Tract 0018E000, St Louis City County, Missouri","140","2951000018E000","29","000001800E","290","5100","G29051000018E","29051000018E","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,5649
"Census Tract 0019A000","Census Tract 0019A000, St Louis City County, Missouri","140","2951000019A000","29","000001900A","290","5100","G29051000019A","29051000019A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,9270
"Census Tract 0019B000","Census Tract 0019B000, St Louis City County, Missouri","140","2951000019B000","29","000001900B","290","5100","G29051000019B","29051000019B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7519
"Census Tract 0019C000","Census Tract 0019C000, St Louis City County, Missouri","140","2951000019C000","29","000001900C","290","5100","G29051000019C","29051000019C","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7461
"Census Tract 0020A000","Census Tract 0020A000, St Louis City County, Missouri","140","2951000020A000","29","000002000A","290","5100","G29051000020A","29051000020A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,6260
"Census Tract 0020B000","Census Tract 0020B000, St Louis City County, Missouri","140","2951000020B000","29","000002000B","290","5100","G29051000020B","29051000020B","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,4841
"Census Tract 0020C000","Census Tract 0020C000, St Louis City County, Missouri","140","2951000020C000","29","000002000C","290","5100","G29051000020C","29051000020C","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,11114
"Census Tract 0021A000","Census Tract 0021A000, St Louis City County, Missouri","140","2951000021A000","29","000002100A","290","5100","G29051000021A","29051000021A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,4926
"Census Tract 0021B000","Census Tract 0021B000, St Louis City County, Missouri","140","2951000021B000","29","000002100B","290","5100","G29051000021B","29051000021B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,11248
"Census Tract 0021C000","Census Tract 0021C000, St Louis City County, Missouri","140","2951000021C000","29","000002100C","290","5100","G29051000021C","29051000021C","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,20833
"Census Tract 0021D000","Census Tract 0021D000, St Louis City County, Missouri","140","2951000021D000","29","000002100D","290","5100","G29051000021D","29051000021D","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,2388
"Census Tract 0022A000","Census Tract 0022A000, St Louis City County, Missouri","140","2951000022A000","29","000002200A","290","5100","G29051000022A","29051000022A","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,6063
"Census Tract 0022B000","Census Tract 0022B000, St Louis City County, Missouri","140","2951000022B000","29","000002200B","290","5100","G29051000022B","29051000022B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,1135
"Census Tract 0022C000","Census Tract 0022C000, St Louis City County, Missouri","140","2951000022C000","29","000002200C","290","5100","G29051000022C","29051000022C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,321
"Census Tract 0022D000","Census Tract 0022D000, St Louis City County, Missouri","140","2951000022D000","29","000002200D","290","5100","G29051000022D","29051000022D","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,7997
"Census Tract 0023A000","Census Tract 0023A000, St Louis City County, Missouri","140","2951000023A000","29","000002300A","290","5100","G29051000023A","29051000023A","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,11233
"Census Tract 0023B000","Census Tract 0023B000, St Louis City County, Missouri","140","2951000023B000","29","000002300B","290","5100","G29051000023B","29051000023B","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,10036
"Census Tract 0023C000","Census Tract 0023C000, St Louis City County, Missouri","140","2951000023C000","29","000002300C","290","5100","G29051000023C","29051000023C","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,8788
"Census Tract 0023D000","Census Tract 0023D000, St Louis City County, Missouri","140","2951000023D000","29","000002300D","290","5100","G29051000023D","29051000023D","1960","43","096",1,0,0,0,0,1,0,0,0,0,1,12749
"Census Tract 0023E000","Census Tract 0023E000, St Louis City County, Missouri","140","2951000023E000","29","000002300E","290","5100","G29051000023E","29051000023E","1960","43","096",1,0,0,0,0,0,0,0,0,0,0,2796
