Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_shape_area,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT6,SE_T001_001
"Census Tract 1011","Census Tract 1011, St. Louis City, Missouri","G2905100101100","2905100101100","50",0.46883615067599,"29510101100","29","510","101100",3270
"Census Tract 1012","Census Tract 1012, St. Louis City, Missouri","G2905100101200","2905100101200","50",0.42932215483336,"29510101200","29","510","101200",3756
"Census Tract 1013","Census Tract 1013, St. Louis City, Missouri","G2905100101300","2905100101300","50",0.75809667790135,"29510101300","29","510","101300",4966
"Census Tract 1014","Census Tract 1014, St. Louis City, Missouri","G2905100101400","2905100101400","50",0.34012246879504,"29510101400","29","510","101400",3447
"Census Tract 1015","Census Tract 1015, St. Louis City, Missouri","G2905100101500","2905100101500","50",0.69327848365373,"29510101500","29","510","101500",4116
"Census Tract 1018","Census Tract 1018, St. Louis City, Missouri","G2905100101800","2905100101800","50",1.3836543559086,"29510101800","29","510","101800",4260
"Census Tract 1018.99","Census Tract 1018.99, St. Louis City, Missouri",,,"50",,"29510101899","29","510","101899",50
"Census Tract 1021","Census Tract 1021, St. Louis City, Missouri","G2905100102100","2905100102100","50",0.59545027875359,"29510102100","29","510","102100",3035
"Census Tract 1022","Census Tract 1022, St. Louis City, Missouri","G2905100102200","2905100102200","50",1.01340107848217,"29510102200","29","510","102200",7127
"Census Tract 1023","Census Tract 1023, St. Louis City, Missouri","G2905100102300","2905100102300","50",0.52396546421906,"29510102300","29","510","102300",2274
"Census Tract 1024","Census Tract 1024, St. Louis City, Missouri","G2905100102400","2905100102400","50",0.22873001481076,"29510102400","29","510","102400",2648
"Census Tract 1025","Census Tract 1025, St. Louis City, Missouri","G2905100102500","2905100102500","50",0.35725310020593,"29510102500","29","510","102500",2248
"Census Tract 1031","Census Tract 1031, St. Louis City, Missouri","G2905100103100","2905100103100","50",0.47269572431087,"29510103100","29","510","103100",3621
"Census Tract 1034","Census Tract 1034, St. Louis City, Missouri","G2905100103400","2905100103400","50",0.34333070229693,"29510103400","29","510","103400",2338
"Census Tract 1036","Census Tract 1036, St. Louis City, Missouri","G2905100103600","2905100103600","50",0.51490482734571,"29510103600","29","510","103600",1707
"Census Tract 1037","Census Tract 1037, St. Louis City, Missouri","G2905100103700","2905100103700","50",0.34643320647136,"29510103700","29","510","103700",3171
"Census Tract 1038","Census Tract 1038, St. Louis City, Missouri","G2905100103800","2905100103800","50",0.66597292307878,"29510103800","29","510","103800",4469
"Census Tract 1039","Census Tract 1039, St. Louis City, Missouri","G2905100103900","2905100103900","50",0.58620214389285,"29510103900","29","510","103900",1372
"Census Tract 1041","Census Tract 1041, St. Louis City, Missouri","G2905100104100","2905100104100","50",0.47292852782594,"29510104100","29","510","104100",3462
"Census Tract 1042","Census Tract 1042, St. Louis City, Missouri","G2905100104200","2905100104200","50",0.42597359285985,"29510104200","29","510","104200",4325
"Census Tract 1045","Census Tract 1045, St. Louis City, Missouri","G2905100104500","2905100104500","50",0.75755807541448,"29510104500","29","510","104500",2817
"Census Tract 1051","Census Tract 1051, St. Louis City, Missouri","G2905100105100","2905100105100","50",0.44582633228768,"29510105100","29","510","105100",4286
"Census Tract 1052","Census Tract 1052, St. Louis City, Missouri","G2905100105200","2905100105200","50",0.31767365391804,"29510105200","29","510","105200",2871
"Census Tract 1053","Census Tract 1053, St. Louis City, Missouri","G2905100105300","2905100105300","50",0.37018454576187,"29510105300","29","510","105300",4013
"Census Tract 1054","Census Tract 1054, St. Louis City, Missouri","G2905100105400","2905100105400","50",0.27662100692732,"29510105400","29","510","105400",3564
"Census Tract 1055","Census Tract 1055, St. Louis City, Missouri","G2905100105500","2905100105500","50",0.46158482559945,"29510105500","29","510","105500",6296
"Census Tract 1061","Census Tract 1061, St. Louis City, Missouri","G2905100106100","2905100106100","50",0.36161584112175,"29510106100","29","510","106100",5854
"Census Tract 1062","Census Tract 1062, St. Louis City, Missouri","G2905100106200","2905100106200","50",0.40737717601722,"29510106200","29","510","106200",4129
"Census Tract 1063","Census Tract 1063, St. Louis City, Missouri","G2905100106300","2905100106300","50",0.38716509078684,"29510106300","29","510","106300",5346
"Census Tract 1064","Census Tract 1064, St. Louis City, Missouri","G2905100106400","2905100106400","50",0.42180035689198,"29510106400","29","510","106400",4863
"Census Tract 1065","Census Tract 1065, St. Louis City, Missouri","G2905100106500","2905100106500","50",0.4167551107167,"29510106500","29","510","106500",5020
"Census Tract 1066","Census Tract 1066, St. Louis City, Missouri","G2905100106600","2905100106600","50",0.32741144643401,"29510106600","29","510","106600",4353
"Census Tract 1067","Census Tract 1067, St. Louis City, Missouri","G2905100106700","2905100106700","50",0.48309935207926,"29510106700","29","510","106700",5847
"Census Tract 1071","Census Tract 1071, St. Louis City, Missouri","G2905100107100","2905100107100","50",1.21951193759379,"29510107100","29","510","107100",1272
"Census Tract 1072","Census Tract 1072, St. Louis City, Missouri","G2905100107200","2905100107200","50",0.25021917349497,"29510107200","29","510","107200",2779
"Census Tract 1073","Census Tract 1073, St. Louis City, Missouri","G2905100107300","2905100107300","50",0.63069349852266,"29510107300","29","510","107300",8902
"Census Tract 1074","Census Tract 1074, St. Louis City, Missouri","G2905100107400","2905100107400","50",0.42889393935171,"29510107400","29","510","107400",6112
"Census Tract 1075","Census Tract 1075, St. Louis City, Missouri","G2905100107500","2905100107500","50",0.38149419464439,"29510107500","29","510","107500",5550
"Census Tract 1076","Census Tract 1076, St. Louis City, Missouri","G2905100107600","2905100107600","50",0.45739597181394,"29510107600","29","510","107600",3845
"Census Tract 1077","Census Tract 1077, St. Louis City, Missouri","G2905100107700","2905100107700","50",0.39671632339617,"29510107700","29","510","107700",5700
"Census Tract 1081","Census Tract 1081, St. Louis City, Missouri","G2905100108100","2905100108100","50",1.24610086154179,"29510108100","29","510","108100",4144
"Census Tract 1082","Census Tract 1082, St. Louis City, Missouri","G2905100108200","2905100108200","50",0.31872932037977,"29510108200","29","510","108200",3154
"Census Tract 1083","Census Tract 1083, St. Louis City, Missouri","G2905100108300","2905100108300","50",0.29190950058531,"29510108300","29","510","108300",2684
