Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_T001_001
"Tract 1062","Tract 1062, St. Louis city, Missouri","140","00","2","4","29510106200","29","510","106200",3563
"Tract 1063","Tract 1063, St. Louis city, Missouri","140","00","2","4","29510106300","29","510","106300",4086
"Tract 1064","Tract 1064, St. Louis city, Missouri","140","00","2","4","29510106400","29","510","106400",3979
"Tract 1065","Tract 1065, St. Louis city, Missouri","140","00","2","4","29510106500","29","510","106500",4292
"Tract 1066","Tract 1066, St. Louis city, Missouri","140","00","2","4","29510106600","29","510","106600",3723
"Tract 1067","Tract 1067, St. Louis city, Missouri","140","00","2","4","29510106700","29","510","106700",5037
"Tract 1071","Tract 1071, St. Louis city, Missouri","140","00","2","4","29510107100","29","510","107100",1581
"Tract 1072","Tract 1072, St. Louis city, Missouri","140","00","2","4","29510107200","29","510","107200",2177
"Tract 1073","Tract 1073, St. Louis city, Missouri","140","00","2","4","29510107300","29","510","107300",7244
"Tract 1074","Tract 1074, St. Louis city, Missouri","140","00","2","4","29510107400","29","510","107400",5176
"Tract 1075","Tract 1075, St. Louis city, Missouri","140","00","2","4","29510107500","29","510","107500",4563
"Tract 1076","Tract 1076, St. Louis city, Missouri","140","00","2","4","29510107600","29","510","107600",3291
"Tract 1077","Tract 1077, St. Louis city, Missouri","140","00","2","4","29510107700","29","510","107700",4801
"Tract 1081","Tract 1081, St. Louis city, Missouri","140","00","2","4","29510108100","29","510","108100",3982
"Tract 1082","Tract 1082, St. Louis city, Missouri","140","00","2","4","29510108200","29","510","108200",3031
"Tract 1083","Tract 1083, St. Louis city, Missouri","140","00","2","4","29510108300","29","510","108300",2556
"Tract 1084","Tract 1084, St. Louis city, Missouri","140","00","2","4","29510108400","29","510","108400",1077
"Tract 1085","Tract 1085, St. Louis city, Missouri","140","00","2","4","29510108500","29","510","108500",1147
"Tract 1096","Tract 1096, St. Louis city, Missouri","140","00","2","4","29510109600","29","510","109600",5097
"Tract 1097","Tract 1097, St. Louis city, Missouri","140","00","2","4","29510109700","29","510","109700",6090
"Tract 1101","Tract 1101, St. Louis city, Missouri","140","00","2","4","29510110100","29","510","110100",4501
